id,x,y,z,yaw,pitch,roll
1,-285.144,226.298,-12.6285,2.44839,0.0122519,0.0402366
2,-284.887,226.115,-12.6235,2.44865,0.012835,0.0412145
3,-285.344,226.511,-12.6183,2.4485,0.0113116,0.0363569
4,-285.588,226.71,-12.6406,2.44921,0.0101945,0.0354511
5,-285.811,226.92,-12.6294,2.45026,0.0100376,0.0314951
6,-286.013,227.11,-12.6258,2.45041,0.0102041,0.0307681
7,-286.201,227.289,-12.6422,2.44897,0.0097501,0.0324393
8,-286.42,227.469,-12.63,2.44996,0.00991553,0.0328257
9,-286.644,227.658,-12.6157,2.4514,0.00777728,0.033109
10,-286.863,227.824,-12.6297,2.45138,0.0063435,0.034268
11,-287.05,228.018,-12.6123,2.45171,0.0022631,0.0339208
12,-287.252,228.2,-12.59,2.45094,-0.00191769,0.0346023
13,-287.449,228.354,-12.6304,2.45113,-0.00462564,0.0373988
14,-287.649,228.505,-12.6486,2.45051,-0.00427045,0.0394495
15,-287.834,228.675,-12.6601,2.45092,-0.00238698,0.0402526
16,-287.984,228.818,-12.6583,2.45076,-0.00118792,0.0405073
17,-288.146,228.979,-12.6664,2.45065,-0.00108727,0.0397895
18,-288.348,229.131,-12.6915,2.45157,0.000585309,0.0414185
19,-288.538,229.28,-12.6983,2.45224,0.0046974,0.0410548
20,-288.698,229.412,-12.6798,2.45258,0.00587558,0.0394786
21,-288.842,229.542,-12.6759,2.45299,0.00677671,0.035407
22,-289.011,229.69,-12.6919,2.45378,0.00546888,0.0359107
23,-289.164,229.837,-12.7041,2.45359,0.00536899,0.0374529
24,-289.322,229.954,-12.7035,2.45323,0.00932452,0.039178
25,-289.467,230.069,-12.7116,2.45456,0.0115958,0.0420532
26,-289.614,230.201,-12.7112,2.45553,0.0140667,0.0430858
27,-289.762,230.32,-12.7097,2.45546,0.0141129,0.0450479
28,-289.896,230.445,-12.7078,2.45428,0.0132675,0.0450435
29,-290.032,230.57,-12.6902,2.45537,0.0115499,0.0455732
30,-290.168,230.696,-12.6932,2.45644,0.00929874,0.0441391
31,-290.305,230.812,-12.6793,2.45634,0.00821223,0.0431794
32,-290.41,230.916,-12.6481,2.45726,0.00654709,0.0395087
33,-290.53,231.048,-12.6719,2.4564,0.0016553,0.0407738
34,-290.683,231.155,-12.6712,2.4561,-0.000555139,0.0405648
35,-290.811,231.293,-12.6029,2.45584,-0.00686264,0.0397035
36,-290.94,231.395,-12.6252,2.45477,-0.0145174,0.0402467
37,-291.059,231.505,-12.6837,2.4546,-0.016,0.0396775
38,-291.175,231.589,-12.7199,2.45514,-0.00991625,0.039729
39,-291.302,231.693,-12.7843,2.4559,-0.00103802,0.0415872
40,-291.399,231.801,-12.7373,2.45632,0.00511781,0.0414376
41,-291.554,231.927,-12.6963,2.45643,0.00252902,0.0424958
42,-291.667,232.031,-12.718,2.45485,-0.000198349,0.047197
43,-291.794,232.116,-12.7529,2.45357,0.000131932,0.0527801
44,-291.93,232.242,-12.7664,2.45315,0.0013454,0.0557277
45,-292.053,232.342,-12.751,2.45432,0.00392262,0.0544023
46,-292.173,232.445,-12.7319,2.45521,0.00668425,0.0505401
47,-292.29,232.531,-12.7392,2.45618,0.00747603,0.0463461
48,-292.41,232.654,-12.7463,2.45687,0.00571475,0.0466548
49,-292.519,232.768,-12.7531,2.45523,0.0043069,0.0484509
50,-292.628,232.855,-12.7742,2.45409,0.00431616,0.048864
51,-292.754,232.924,-12.7697,2.45535,0.00580158,0.0506425
52,-292.868,233.052,-12.7575,2.45417,0.0060227,0.0510629
53,-292.979,233.144,-12.7672,2.45357,0.00636271,0.0487753
54,-293.131,233.266,-12.7732,2.45511,0.00925079,0.04851
55,-293.24,233.366,-12.7631,2.45609,0.0109464,0.0489928
56,-293.371,233.496,-12.7263,2.45554,0.00793899,0.0464807
57,-293.501,233.614,-12.7515,2.45425,-0.000234225,0.0447829
58,-293.664,233.724,-12.801,2.45459,-0.00370393,0.0438511
59,-293.792,233.827,-12.7989,2.45692,-0.00179812,0.045554
60,-293.905,233.949,-12.7834,2.45768,-0.00280206,0.0477462
61,-294.027,234.066,-12.7609,2.457,-0.00528557,0.0489333
62,-294.15,234.182,-12.793,2.45542,-0.00656215,0.049553
63,-294.291,234.304,-12.8141,2.45486,-0.00599525,0.0510895
64,-294.426,234.403,-12.793,2.45537,-0.00591803,0.0518238
65,-294.543,234.526,-12.7939,2.4548,-0.00566144,0.0523912
66,-294.683,234.645,-12.7811,2.45406,-0.00449094,0.0500886
67,-294.809,234.777,-12.7915,2.45475,-0.00461401,0.0485428
68,-294.969,234.882,-12.788,2.45572,-0.00503171,0.0481211
69,-295.106,235.003,-12.7891,2.4548,-0.00504247,0.0478187
70,-295.224,235.104,-12.793,2.45509,-0.00530547,0.0481502
71,-295.36,235.232,-12.8068,2.45519,-0.00505566,0.0489129
72,-295.462,235.34,-12.785,2.45373,-0.00535244,0.0481799
73,-295.598,235.473,-12.778,2.45283,-0.00547653,0.0478996
74,-295.753,235.58,-12.7694,2.45329,-0.00594859,0.0485921
75,-295.902,235.686,-12.7955,2.45394,-0.00616587,0.0493422
76,-296.011,235.81,-12.7986,2.4532,-0.00596029,0.0491667
77,-296.142,235.937,-12.7806,2.45233,-0.00508926,0.0478001
78,-296.268,236.048,-12.7786,2.45227,-0.00547862,0.0453372
79,-296.399,236.162,-12.8041,2.45342,-0.00590245,0.0449731
80,-296.568,236.303,-12.821,2.45336,-0.00394658,0.0446486
81,-296.72,236.424,-12.8182,2.45365,-0.00322848,0.0448522
82,-296.843,236.537,-12.807,2.45377,-0.00138707,0.0466043
83,-296.982,236.672,-12.8029,2.45357,-0.00160691,0.0475952
84,-297.119,236.798,-12.8113,2.45326,-0.0020433,0.04729
85,-297.259,236.902,-12.8132,2.45349,-0.00106306,0.0471354
86,-297.398,237.046,-12.8223,2.45301,-0.000108338,0.0462342
87,-297.551,237.178,-12.8153,2.45324,0.00082533,0.0458445
88,-297.684,237.294,-12.8116,2.45374,-0.00115949,0.0454883
89,-297.827,237.407,-12.8196,2.45492,-0.00110967,0.0458224
90,-297.997,237.531,-12.8188,2.45468,-0.00182764,0.0456184
91,-298.141,237.662,-12.8315,2.45475,-0.00238348,0.0453801
92,-298.286,237.789,-12.8113,2.45524,-0.00308051,0.0441688
93,-298.414,237.92,-12.8277,2.45562,-0.00295363,0.0437047
94,-298.552,238.026,-12.8297,2.45549,-0.00352934,0.0425187
